region,date,t,rate,rate_hat,cum,cum_hat_fit,cum_hat_pred,error,mse,quality,drift,Historic,Forecast
Predict,2015-05-01T00:00:00Z,2221,25.766666666666666,19.2337072905895,101659,91381.51149331298,91561.10844852663,-10097.891551473367,27237837.417855415,0.9668720607673292,0.9359028364469436,,
Predict,2015-06-01T00:00:00Z,2252,25.93548387096774,19.062363629592216,102463,91975.09663166896,92154.6935868826,-10308.306413117389,28728843.902550917,0.9659774246934946,0.934567211506624,,
Predict,2015-07-01T00:00:00Z,2282,23.566666666666663,18.898000674921622,103170,92544.4985378783,92724.09549309195,-10445.904506908046,30217511.996345192,0.9651070682617598,0.933693796746985,,
Predict,2015-08-01T00:00:00Z,2313,23.612903225806452,18.729647659444755,103902,93127.72319528813,93307.32015050178,-10594.67984949822,31708961.616654623,0.96425633185184,0.932749433518478,,
Predict,2015-09-01T00:00:00Z,2344,22.93548387096774,18.562794418378292,104613,93705.75219039142,93885.34914560508,-10727.650854394931,33197774.674460795,0.963426830758829,0.9319053895707654,,
Predict,2015-10-01T00:00:00Z,2374,23.366666666666667,18.40273893959123,105314,94260.23172565683,94439.8286808705,-10874.171319129498,34689876.90609795,0.962613958077948,0.9309753393574026,,
Predict,2015-11-01T00:00:00Z,2405,14.870967741935484,18.23879796790817,105775,94828.1717579423,95007.76871315597,-10767.23128684405,36090625.055723734,0.9618666191339796,0.9316541496520894,,
Predict,2015-12-01T00:00:00Z,2435,23.333333333333332,18.08153610983556,106475,95372.97336448454,95552.5703196982,-10922.429680301808,37500944.4636121,0.9611286868658696,0.9306690156012902,,
Predict,2016-01-01T00:00:00Z,2466,22.096774193548388,17.92045657656068,107160,95931.00052749002,96110.59748270368,-11049.40251729633,38910750.322372474,0.960404766177316,0.9298630454977148,,
Predict,2016-02-01T00:00:00Z,2497,22.387096774193548,17.760812021812097,107854,96484.05650030317,96663.6534555168,-11190.346544483196,40325719.26439305,0.9596912648688096,0.9289683921617812,,
Predict,2016-03-01T00:00:00Z,2526,35.93103448275862,17.61275488606365,108896,96996.97022524817,97176.56718046182,-11719.432819538182,41890548.07644588,0.9589166234114112,0.925609975275146,,
Predict,2016-04-01T00:00:00Z,2557,51.67741935483871,17.45585149469809,110498,97540.5299970551,97720.12695226877,-12777.87304773125,43817270.16450129,0.957982445902737,0.9188914423941184,,
Predict,2016-05-01T00:00:00Z,2587,55.233333333333334,17.305340499120096,112155,98061.94461849054,98241.5415737042,-13913.458426295809,46157380.40224755,0.956875041935522,0.9116832245827782,,
Predict,2016-06-01T00:00:00Z,2618,58.32258064516129,17.151175711691177,113963,98596.01705597083,98775.61401118449,-15187.385988815511,48995831.36795558,0.9555688376485884,0.9035968688407562,,
Predict,2016-07-01T00:00:00Z,2648,54.63333333333333,17.003291746678997,115602,99108.33086624816,99287.92782146182,-16314.072178538176,52286030.15096463,0.954101240958692,0.8964451393329178,,
Predict,2016-08-01T00:00:00Z,2679,48.87096774193548,16.851817763381646,117117,99633.08156206943,99812.6785172831,-17304.3214827169,55974888.5364311,0.9525097202424168,0.8901594537237292,,
Predict,2016-09-01T00:00:00Z,2710,49.064516129032256,16.701693187478924,118638,100153.157511417,100332.75446663066,-18305.245533369336,60079405.08790915,0.9507993408613918,0.8838060093188429,,
Predict,2016-10-01T00:00:00Z,2740,50.766666666666666,16.55768483187111,120161,100652.04506401364,100831.64201922728,-19329.357980772707,64623530.810531646,0.9489725987894904,0.8773053747355415,,
Predict,2016-11-01T00:00:00Z,2771,48.483870967741936,16.410180541935283,121664,101163.04356748934,101342.640522703,-20321.35947729701,69599732.52760303,0.9470443998202792,0.8710085669471554,,
Predict,2016-12-01T00:00:00Z,2801,50.3,16.268685719311964,123173,101653.22349813089,101832.82045334454,-21340.17954665546,75033585.07064372,0.945016047223865,0.864541526151171,,
Predict,2017-01-01T00:00:00Z,2832,48.483870967741936,16.12375598066896,124676,102155.30299417756,102334.8999493912,-22341.1000506088,80923740.1595419,0.9428986885684442,0.8581881042592371,,
Predict,2017-02-01T00:00:00Z,2863,49.16129032258065,15.980117349955975,126200,102652.90971034535,102832.50666555902,-23367.49333444098,87295192.2770159,0.9406933665177908,0.8516729918866992,,
Predict,2017-03-01T00:00:00Z,2891,51.964285714285715,15.851479397457284,127655,103098.54963882206,103278.14659403572,-24376.853405964284,94145675.92159504,0.9384102702943125,0.8452659991735606,,
Predict,2017-04-01T00:00:00Z,2922,47.096774193548384,15.710266345228284,129115,103587.75343344828,103767.35038866194,-25347.649611338056,101457111.45356266,0.9360634267620463,0.8391037936442836,,
Predict,2017-05-01T00:00:00Z,2952,49.4,15.574806449208088,130597,104057.0265927402,104236.62354795384,-26360.376452046155,109265168.4961946,0.9336487698425632,0.8326754300980375,,
Predict,2017-06-01T00:00:00Z,2983,48.806451612903224,15.43605814052206,132110,104537.69178647248,104717.28874168612,-27392.71125831388,117591083.58171616,0.9311672207417214,0.8261226034429323,,
Predict,2017-07-01T00:00:00Z,3013,48.166666666666664,15.3029625720111,133555,104998.77421572203,105178.3711709357,-28376.6288290643,126407006.40377729,0.9286336176435604,0.8198771090113831,,
Predict,2017-08-01T00:00:00Z,3044,47.67741935483871,15.166635987043485,135033,105471.0498419612,105650.64679717486,-29382.353202825136,135735052.90164804,0.9260472858905,0.8134931941767226,,
Predict,2017-09-01T00:00:00Z,3075,47.87096774193548,15.031523868731032,136517,105939.11819637402,106118.71515158768,-30398.284848412324,145589061.26194265,0.9234099272370438,0.8070444878785819,,
Predict,2017-10-01T00:00:00Z,3105,49.6,14.901916348684,138005,106388.116993711,106567.71394892463,-31437.286051075353,155992936.48410553,0.9207205596000944,0.8004493457462427,,
Predict,2017-11-01T00:00:00Z,3136,48.354838709677416,14.769162487741752,139504,106848.01564683914,107027.6126020528,-32476.387397947212,166952970.6540743,0.9179827535439766,0.7938535679406344,,
Predict,2017-12-01T00:00:00Z,3166,38.93333333333333,14.641817147380769,140672,107289.17758441652,107468.77453963018,-33203.225460369824,178224069.5735692,0.9152594482671296,0.7892399059770246,,
Predict,2018-01-01T00:00:00Z,3197,46.03225806451613,14.511380382602065,142099,107741.0491308585,107920.64608607216,-34178.353913927844,190009019.6532375,0.9125025859443496,0.7830502011604952,,
Predict,2018-02-01T00:00:00Z,3228,43.806451612903224,14.382105614960375,143457,108188.89517540956,108368.4921306232,-35088.5078693768,202258365.12201497,0.9097262766273312,0.7772729270985291,,
